"Raison Sociale",SIREN,Année,Note,Structure,"Nom UES","Entreprises UES (SIREN)",Région,Département
"SVA JEAN ROZE",775591563,2018,78/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"ADAPEI 35",775590920,2018,99/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"ADAPEI 35",775590920,2018,99/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"CREDIT AGRICOLE ILLE ET VILAINE",775590847,2018,86/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"ASSOCIATION LAIQUE DU PRADO",775586662,2018,64/65,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"PAVILLON DE LA MUTUALITE",775584972,2018,94/100,"Unité Economique et Sociale (UES)","PAVILLON DE LA MUTUALITE","CLINIQUE PESSAC (775584972), CLINIQUE MEDOC (775584972), CENTRE AUDITION GALLIENI (775584972), CENTRE AUDITION LA TESTE (775584972), CENTRE AUDITION MERIGNAC (775584972), CENTRE AUDITION MEDOC (775584972), CENTRE AUDITION GRADIGNAN (775584972), CENTRE DENTAIRE GALLIENI (775584972), CENTRE DENTAIRE BLAYE (775584972), CENTRE DENTAIRE PESSAC (775584972), PHARMACIE ACHARD (775584972), PHARMACIE GALLIENI (775584972), RONDE ENFANTINE COORDINATION (775584972), RONDE ENFANTINE LE TAILLAN (775584972), RONDE ENFANTINE LIBOURNE (775584972), MSS DIRECTION (775584972), MSS BASSIN (775584972), MSS ENTRE 2 MERS (775584972), MSS GRAVES (775584972), MSS MEDOC (775584972), MAISON DE RETRAITE PESSAC (775584972), OPTIQUE GALLIENI (775584972), OPTIQUE BIGANOS (775584972), OPTIQUE ACHARD (775584972), OPTIQUE MEDOC (775584972), OPTIQUE CENON (775584972), OPTIQUE MERIGNAC (775584972), OPTIQUE ST MEDARD EN JALLES (775584972), OPTIQUE GRADIGNAN (775584972), OPTIQUE LA TESTE (775584972), OPTIQUE LA SAUVE (775584972), OPTIQUE BLANQUEFORT (775584972), OPTIQUE LIBOURNE (775584972), OPTIQUE PORTAL (775584972), OPTIQUE PESSAC (775584972), OPTIQUE TALENCE (775584972), OPTIQUE LANGON (775584972), OPTIQUE BLAYE (775584972), CENTRE SANTE GALLIENI (775584972), MAISON DES JEUNES DE LA SANTE (775584972), GIE PAVILLON RADIOLOGIE (481615367)",Nouvelle-Aquitaine,Gironde
"A.S.E.I",775581226,2018,74/80,Entreprise,"","",Occitanie,Haute-Garonne
ARSEAA,775581218,2018,69/85,Entreprise,"","",Occitanie,Haute-Garonne
"Crédit Mutuel Arkéa",775577018,2018,87/100,"Unité Economique et Sociale (UES)","UES Arkade","Caisse Régionale du Crédit Mutuel du Sud Ouest (691820385), Caisse Régionale du Crédit Mutuel Massif Central (318773439), Arkéa Banque Entreprises et Institutionnels (378398911), Federal Finance (318502747), Federal Finance Gestion (378135610), Arkéa Capital (420761512), Arkéa Crédit Bail (384288684)",Bretagne,Finistère
Triskalia,775576986,2018,77/100,"Unité Economique et Sociale (UES)","UES Triskalia","Keltivia (635520018), Distrivert (445330236), Transkalia (511813347), Farmouest (789374113), Sicarbu Ouest (445314529), Cobrena achats (382048247), caliance sas (818824963), Capinov (817668155), Triskalia innovation (824327647)",Bretagne,Finistère
"Caisse Régionale du Crédit Agricole Mutuel Charente Périgord",775569726,2018,89/100,Entreprise,"","",Nouvelle-Aquitaine,Charente
"ADAPEI Nouelles Cotes d'Armor",775568884,2018,67/100,Entreprise,"","",Bretagne,"Côtes-d'armor"
"MUTUALITE FRANCAISE BOURGUIGNONNE SSAM",775567761,2018,64/65,Entreprise,"","",Bourgogne-Franche-Comté,"Côte-d'or"
ACSEA,775561392,2018,63/65,Entreprise,"","",Normandie,Calvados
ENTRAIDE,775559701,2018,99/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"Caisse d'Epargne CEPAC",775559404,2018,79/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"CARSAT SUD-EST",775559115,2018,93/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"Grand Port Maritime de Marseille",775558489,2018,97/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"Régime général de la sécurité sociale",775558364,2018,98/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"CPAM DES ALPES-MARITIMES",775552151,2018,99/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Alpes-Maritimes
"Association ORSAC",775544562,2018,83/100,Entreprise,"","",Auvergne-Rhône-Alpes,Ain
"Adapei de l'Ain",775544083,2018,78/85,Entreprise,"","",Auvergne-Rhône-Alpes,Ain
"MUTUALITE FRANCAISE CENTRE VAL DE LOIRE",775347891,2018,95/100,Entreprise,"","","Centre-Val de Loire",Indre-et-Loire
HEPPNER,769800202,2018,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"SAINT-GOBAIN PAM",755802105,2018,15/65,Entreprise,"","","Grand Est",Meurthe-et-Moselle
"BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE",75550190,2018,77/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"BANQUE CIC EST",754800712,2018,86/100,Entreprise,"","","Grand Est",Bas-Rhin
"Fondation Saint Jean de Dieu",753313329,2018,74/100,Entreprise,"","",Ile-de-France,Paris
"ACTION FRANCE",753308238,2018,95/100,Entreprise,"","",Ile-de-France,Paris
GHICL,753108950,2018,93/100,Entreprise,"","",Hauts-de-France,Nord
"Association de Moyens KLESIA",752610147,2018,90/100,Entreprise,"","",Ile-de-France,Paris
"VACANCESELECT GROUP",752470609,2018,74/100,Entreprise,"","",Occitanie,Hérault
"GUILBERT PROPRETE",745851303,2018,88/100,"Unité Economique et Sociale (UES)","ETS GUILBERT","ANTARCTIQUE SERVICES AUX PARTICULIERS (410535504), 3G MAINTENANCE (352125363)",Ile-de-France,Seine-Saint-Denis
"ENTREPRISE GENERALE LEON GROSSE",745420653,2018,75/100,Entreprise,"","",Auvergne-Rhône-Alpes,Savoie
TRUFFAUT,739806230,2018,88/100,Entreprise,"","",Ile-de-France,Essonne
"CANON FRANCE",738205269,2018,87/100,Entreprise,"","",Ile-de-France,Paris
"Accenture SAS",732075312,2018,88/100,Entreprise,"","",Ile-de-France,Paris
"GERFLOR SAS",726580152,2018,75/100,"Unité Economique et Sociale (UES)","UES GERFLOR","GERFLOR PROVENCE SNC (722980224), GERFLOR TARARE SNC (433605128)",Auvergne-Rhône-Alpes,Rhône
"Crédit Agricole Payment Services",723001467,2018,84/100,"Unité Economique et Sociale (UES)","Crédit Agricole S.A.","CREDIT AGRICOLE SOLUTION GROUPE (437603400), FONCARIS (350892022), PLEINCHAMP (432556900), PROGICA (401440268), CREDIT AGRICOLE CAPITAL INVESTISSEMENT & FINANCE (353849599), IDIA (508667094), SODICA (422069021), CREDIT AGRICOLE S.A. (784608416)",Ile-de-France,Yvelines
"SOCIETE DES ATELIERS LOUIS VUITTON",722063997,2018,88/100,Entreprise,"","",Ile-de-France,Paris
"AXA FRANCE IARD",722057460,2018,92/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
TECHNICATOME,722045879,2018,78/100,Entreprise,"","",Ile-de-France,Essonne
"thyssenkrupp Ascenseurs",722044742,2018,53/65,Entreprise,"","","Pays de la Loire",Maine-et-Loire
"BUT INTERNATIONAL",722041860,2018,89/100,"Unité Economique et Sociale (UES)","UES BUT","BUT SAS (722041860)",Ile-de-France,Seine-et-Marne
"Verallia France",722034592,2018,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SERVAIR SA",722000395,2018,94/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"SANOFI AVENTIS RECHERCHE & DEVELOPPEMENT",713002269,2018,94/100,Entreprise,"","",Ile-de-France,Essonne
"A-G-NET PROPRETE SERVICES",712880830,2018,99/100,Entreprise,"","","Grand Est",Aube
"PENELOPE L'AGENCE",712052141,2018,80/100,Entreprise,"","",Ile-de-France,Paris
"Dassault Aviation",712042456,2018,71/100,"Unité Economique et Sociale (UES)","UES Dassault Aviation - Dassault Falcon Service","Dassault Falcon Service (679801886)",Ile-de-France,Hauts-de-Seine
"SAFRAN LANDING SYSTEMS",712019538,2018,89/100,Entreprise,"","",Ile-de-France,Yvelines
"ISS LOGISTIQUE ET PRODUCTION",712002641,2018,87/100,Entreprise,"","",Ile-de-France,Paris
"BAYER HEALTHCARE",706580149,2018,80/100,Entreprise,"","",Hauts-de-France,Nord
SOBECA,703780247,2018,70/85,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"ESSITY OPERATIONS FRANCE",702055187,2018,84/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"CGI France",702042755,2018,64/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Groupe Randstad France",702028234,2018,88/100,"Unité Economique et Sociale (UES)","UES des sociétés de travail temporaire du groupe Randstad en France","Randstad (433999356), Select TT (304381379), Atoll (354044497), Ainterim (377905419), Alp'emploi (398775924), Arve interim (342756798), Atout travail temporaire (420501652), Atrium (450832944), Interim 31 (480850551), Interim d'oc (489243857), Internim (354073389)",Ile-de-France,Seine-Saint-Denis
"MAUBEUGE CONSTRUCTION AUTOMOBILE",702023433,2018,77/100,Entreprise,"","",Hauts-de-France,Nord
"DERICHEBOURG PROPRETE (DERICHEBOURG PROPRETE ET SERVICES ASSOCIES)",702021114,2018,62/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"ALTRAN TECHNOLOGIES",702012956,2018,74/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
DIAC,702002221,2018,93/100,"Unité Economique et Sociale (UES)","UES Groupe DIAC","DIAC Location (329892368)",Ile-de-France,Seine-Saint-Denis
"CHUBB France",702000522,2018,89/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"Royal Canin SAS",700200983,2018,78/100,"Unité Economique et Sociale (UES)","Royal Canin","Royal Canin France SAS (380824888)",Occitanie,Gard
"Bombardier Transport France SAS",698800935,2018,87/100,Entreprise,"","",Hauts-de-France,Nord
"HERMES SELLIER",696520410,2018,78/100,Entreprise,"","",Ile-de-France,Paris
"POINT P ILE DE FRANCE",695680108,2018,74/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"CNHi France",695480244,2018,80/100,Entreprise,"","",Ile-de-France,Essonne
"CACEIS Bank",692024722,2018,89/100,"Unité Economique et Sociale (UES)",CACEIS,"CACEIS S.A. (437580160), CACEIS Corporate Trust (439430976), CACEIS Fund Administration (420929481)",Ile-de-France,Paris
"Total Raffinage Chimie",692004807,2018,83/100,"Unité Economique et Sociale (UES)","Raffinage Pétrochimie","Total Raffinage France (529221749), Total Petrochemicals France (428891113)",Ile-de-France,Hauts-de-Seine
PROMOD,685420606,2018,78/100,Entreprise,"","",Hauts-de-France,Nord
"SMAC SAS",682040837,2018,0/25,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Hager Electro SAS",675980114,2018,74/100,Entreprise,"","","Grand Est",Bas-Rhin
"KUHN SA",675580542,2018,85/100,"Unité Economique et Sociale (UES)","KUHN - KUHN MGM","KUHN MGM SAS (677380438)","Grand Est",Bas-Rhin
SICAME,675520415,2018,89/100,"Unité Economique et Sociale (UES)","UES SICAME","SICAMEX (303804397), SM-CI (775596679), DERVAUX DISTRIBUTION (393398623), DERVASIL (423136977), DERVAUX (393398532), MECATRACTION (712061506), CATU (552035826), SEIFEL (332108331)",Nouvelle-Aquitaine,Corrèze
"BIOMERIEUX SA",673620399,2018,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"DANONE PRODUITS FRAIS FRANCE",672039971,2018,85/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"DANONE PRODUITS FRAIS FRANCE",672039971,2018,97/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
LINDT&SPRUNGLI,672024155,2018,79/100,Entreprise,"","",Nouvelle-Aquitaine,Pyrénées-Atlantiques
"CONSTELLIUM ISSOIRE",672014081,2018,86/100,Entreprise,"","",Auvergne-Rhône-Alpes,Puy-de-Dôme
"Orano  DS - Démantèlement et Services",672008489,2018,94/100,Entreprise,"","",Ile-de-France,Essonne
"PricewaterhouseCoopers Audit",672006483,2018,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"WURTH FRANCE",668502966,2018,69/100,Entreprise,"","","Grand Est",Bas-Rhin
"BONDUELLE EUROPE LONG LIFE (BELL)",665580072,2018,94/100,"Unité Economique et Sociale (UES)","BELL SOLEAL","SUD OUEST LEGUMES ALLIANCE (SOLEAL) (352468292)",Hauts-de-France,Nord
"Société en commandite simple",662051275,2018,78/100,Entreprise,"","",Ile-de-France,Paris
"SPIE NUCLEAIRE",662049287,2018,68/100,Entreprise,"","",Ile-de-France,"Val-d'oise"
"CNIM SA",662043595,2018,79/100,Entreprise,"","",Ile-de-France,Paris
"OFFICE NATIONAL DES FORETS",662043116,2018,84/100,Entreprise,"","",Ile-de-France,Paris
"BNP PARIBAS SA",662042449,2018,87/100,Entreprise,"","",Ile-de-France,Paris
"Service d'Entretien et de Nettoyage Industriel SENI",662032234,2018,82/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
ELRES,662025196,2018,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SUEZ RV ILE DE FRANCE",662014489,2018,53/65,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Pierre Fabre SA",662006170,2018,90/100,"Unité Economique et Sociale (UES)","Laboratoires Pierre Fabre","PIERRE FABRE MEDICAMENT (326118502), PIERRE FABRE MEDICAMENT INFORMATION (449080969), PIERRE FABRE SANTE INFORMATION (449080746), PIERRE FABRE SANTE (449080647), PIERRE FABRE ORAL CARE INFORMATION (449080647), PIERRE FABRE MEDICAMENT PRODUCTION (383392453), PIERRE FABRE MEDICAL DEVICES (430332114), INSTITUT DE RECHERCHE PIERRE FABRE (334924362), PIERRE FABRE DERMO-COSMETIQUE (319137576), PIERRE FABRE DERMATOLOGIE (409067006), LABORATOIRES DERMATOLOGIQUES A-DERMA (424763415), LABORATOIRES KLORANE (403271075), LABORATOIRES GALENIC (403270622.), LABORATOIRES DERMATOLOGIQUES AVENE (403269483), LES THERMES D’AVENE (423907732), LABORATOIRES DERMATOLOGIQUES DUCRAY (403269814), RENE FURTERER (403271398)",Occitanie,Tarn
"ISS HYGIENE ET PREVENTION",662005214,2018,55/65,Entreprise,"","",Ile-de-France,Paris
"Ciments Calcia",654800689,2018,59/100,Entreprise,"","",Ile-de-France,Yvelines
ASPIROTECHNIQUE,652011404,2018,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SCA MAISADOUR",782092290,2018,84/100,"Unité Economique et Sociale (UES)","UES MAISADOUR","SAS ALILANDES (444179386), SAS AQUITAINE LEGUMES SURGELES (388143620), SAS AQUALIA (811426402), SAS ARAMIS (512113481), SAS AXSO (751751488), SARL BAZKAONA (329048466), SAS CANADOUR-COQADOUR (388897167), SAS CENTRALE CONVERGENCE (752137067), SAS ELEVAGE SERVICE (438069627), SAS ESPACES VERTS (316432467), SAS INOVITIS (489430454), SA MAISADOUR SEMENCES (423000553), SAS NUTRICIA (339635435), SAS PALMADOUR (452785264), SAS PROVIF (435978900), SA QUERIAL (512682881), SAS SUD OUEST MASH (810243949), SAS SUD OUEST MOTOCULTURE (752486795), SAS SUD OUEST ALIMENT (381159201), SAS SUD OUEST MIN (349282921)",Nouvelle-Aquitaine,Landes
"SAS DELPEYRAT",645680026,2018,84/100,Entreprise,"","",Nouvelle-Aquitaine,Landes
"Laboratoire GlaxoSmithKline",642041362,2018,87/100,"Unité Economique et Sociale (UES)","UES GlaxoSmithKline","Glaxo Wellcome Production (410352777)",Ile-de-France,Hauts-de-Seine
FERROPEM,642005177,2018,52/65,Entreprise,"","",Auvergne-Rhône-Alpes,Savoie
"Zodiac Aerotechnics",639804384,2018,59/100,Entreprise,"","",Ile-de-France,Yvelines
"SA BOULANGERIE NEUHAUSER",638502963,2018,77/100,Entreprise,"","","Grand Est",Moselle
"Sanef SA",632050019,2018,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"COLAS RAIL",632049128,2018,80/100,Entreprise,"","",Ile-de-France,Yvelines
"manitowoc crane group france SAS",632045837,2018,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"COMPASS GROUP FRANCE",632041042,2018,78/100,"Unité Economique et Sociale (UES)","COMPASS GROUP FRANCE","EVHREST (493023220), MEDIANCE (352751200), SERVIREST (400319554)",Ile-de-France,Hauts-de-Seine
"SAICA Pack France",632039988,2018,89/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"BNP Paribas Lease Group",632017513,2018,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"GRANT THORNTON",632013843,2018,87/100,"Unité Economique et Sociale (UES)","GRANT THORNTON","GRANT THORTON PERFORMANCE (494390651), GRANT THORNTON EXECUTIVE (421612391), TUILLET AUDIT (343541231), GRANT THORNTON CONSEIL (429429087), CABINET KLING ET ASSOCIES (342061942)",Ile-de-France,Hauts-de-Seine
"L'OREAL SA",632012100,2018,76/100,Entreprise,"","",Ile-de-France,Paris
"SAS JUNGHEINRICH FRANCE",629857301,2018,88/100,Entreprise,"","",Ile-de-France,Yvelines
"HERVE THERMIQUE",627220049,2018,84/100,Entreprise,"","","Centre-Val de Loire",Indre-et-Loire
"JCDecaux France",622044501,2018,92/100,"Unité Economique et Sociale (UES)","UES JCDecaux","JCDecaux SA (307570747)",Ile-de-France,Hauts-de-Seine
"VORWERK France",622028777,2018,69/85,Entreprise,"","","Pays de la Loire",Loire-Atlantique
"SUEZ RV ENERGIE",622012748,2018,83/100,"Unité Economique et Sociale (UES)","SUEZ RV ENERGIE","AMETYST (501717615), ARCANTE (408974277), ASTRIA EXPLOITATION (399730761), Co Synergie 53 (828554568), CORREZE INC. EXPL. (408588135), ECONOTRE (410872188), ESIANE (443118427), EVNA (838671170), OREADE SAS (803806793), ORISANE (409434479), SET FAUCIGNY (401471271), SET MONT BLANC (401405832), SIRAC (300221728), SOGAD (322323783), SUEZ RV CENTRE EST ENERGIE (410348833), VERNEA (48911824), SUEZ RV Energie Rambervillers (841022452), VALO'MARNE (833921232), VALORLY (378589196)",Ile-de-France,Hauts-de-Seine
"THALES AVS FRANCE SAS",612039495,2018,94/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
INTERFORUM,612039073,2018,92/100,Entreprise,"","",Ile-de-France,Val-de-Marne
"CHRISTIAN DIOR COUTURE",612035832,2018,89/100,Entreprise,"","",Ile-de-France,Paris
"KANTAR SAS",612034496,2018,88/100,Entreprise,"","",Ile-de-France,Yvelines
"LILLY FRANCE",609849153,2018,100/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Banque Populaire Auvergne Rhône Alpes",605520071,2018,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Hachette Livre",602060147,2018,81/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Accor SA",602036444,2018,73/85,"Unité Economique et Sociale (UES)","UES Accor SA - So Luxury","SOLUXURY HMC (501623748)",Ile-de-France,Hauts-de-Seine
"EURALIS GASTRONOMIE SAS",601650146,2018,76/85,"Unité Economique et Sociale (UES)","UES du POLE ALIMENTAIRE EURALIS","JEAN STALAVEN PROXIMITE SAS (429763477), JEAN STALAVEN SAS (425807100)",Nouvelle-Aquitaine,Pyrénées-Atlantiques
"DAHER AEROSPACE SA",597020841,2018,73/100,Entreprise,"","","Centre-Val de Loire",Loir-et-Cher
"KONE SA",592052302,2018,69/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Alpes-Maritimes
"MERIALS SAS",590800215,2018,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"CAISSE FEDERALE DE CREDIT MUTUEL",588505354,2018,82/100,"Unité Economique et Sociale (UES)","CFdeCM BFCM FEDERATION CEE","BANQUE FEDERATIVE DU CREDIT MUTUEL (355801829), FEDERATION CENTRE EST EUROPE (303263941)","Grand Est",Bas-Rhin
AXIMUM,582081782,2018,75/100,Entreprise,"","",Ile-de-France,Yvelines
"Icade SA",582074944,2018,99/100,"Unité Economique et Sociale (UES)",ICADE,"Icade Management (318607207), Icade Promotion (784616576), Sarvilep (523705739)",Ile-de-France,Hauts-de-Seine
ICADE,582074944,2018,99/100,"Unité Economique et Sociale (UES)",ICADE,"ICADE MANAGEMENT (318607207), ICADE PROMOTION (784606576), SARVILEP (523705739)",Ile-de-France,Hauts-de-Seine
"GUERLAIN SAS",582022265,2018,92/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"caroll international",582001707,2018,77/100,Entreprise,"","",Ile-de-France,Paris
"PREZIOSO LINJEBYGG",573680162,2018,54/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
"BHV EXPLOITATION",572232650,2018,79/100,Entreprise,"UES GALERIES LAFAYETTE HAUSSMANN","GALERIES LAFAYETTE HAUSSMANN (572062594), GALERIES LAFAYETTE VOYAGES (315710251), GROUPE GALERIES LAFAYETTE SERVICES (612038679), GALFA RESTAURATION (319721601), GALERIES LAFAYETTE L'ACADEMIE (824041529)",Ile-de-France,Paris
"CLUB MED SAS",572185684,2018,99/100,Entreprise,"","",Ile-de-France,Paris
"DISTRIBUTION SANITAIRE CHAUFFAGE",572141885,2018,73/100,Entreprise,"","",Hauts-de-France,Oise
"AUTOROUTES DU SUD DE LA FRANCE",572139996,2018,83/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Vaucluse
"Banque de France",572104891,2018,88/100,Entreprise,"","",Ile-de-France,Paris
SOGERES,572102176,2018,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Robert Bosch (France) SAS",572067684,2018,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"SIACI SAINT HONORE",572059939,2018,88/100,"Unité Economique et Sociale (UES)","UES SIACI SAINT HONORE","MSH INTERNATIONAL (352807549), JLT ENERGY (FRANCE) (437724693), MYP (810541086), S2H CONSULTING (813673712)",Ile-de-France,Paris
"FLEURY MICHON SA",572058329,2018,89/100,"Unité Economique et Sociale (UES)","FLEURY MICHON","FLEURY MICHON LS (340545441), FLEURY MICHON LS TLM CHANTONNAY (340545441), FLEURY MICHON LS MOUILLERON (340545441), FLEURY MICHON LS MONTIFAUT TRAITEUR (340545441), FLEURY MICHON LS AIDES CULINAIRES (340545441), FLEURY MICHON LS CHANTONNAY CHARCUTERIE (340545441), FLEURY MICHON LS TLM CHANTONNAY (340545441), FLEURY MICHON LS TLM CHANTONNAY (340545441)","Pays de la Loire",Vendée
"ENTREPRISE GUY CHALLANCIN",572053833,2018,74/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"Generali France",572044949,2018,92/100,"Unité Economique et Sociale (UES)","UES Generali France","GENERALI VIE (602062481), GENERALI IARD (550062663), L’EQUITE COMPAGNIE D’ASSURANCE ET DE REASSURANCE CONTRE LES RISQUES DE TOUTE NATURE (572084697), TRIESTE COURTAGE (582033577)",Ile-de-France,Seine-Saint-Denis
"Veolia Eau Compagnie Générale des Eaux",572025526,2018,79/100,"Unité Economique et Sociale (UES)","Veolia Eau Générale des Eaux","Champenoise de Distribution d'Eau et d'Assainissement (095650206), Compagnie des Eaux de la Banlieue du Havre (357501816), Compagnie des Eaux et de Comptage (309470235), Compagnie des Eaux de Maisons Laffitte (775706625), Compagnie des Eaux et de l'Ozone (procédé M OTTO) (775666363), Société anonyme des Eaux du Touquet Paris Plage et Extensions (542029129), Compagnie Méditerranéenne d'Exploitation des Services d'Eau (780153292), Compagnie Fermière de Service Public (575750161), Eau et Chaleur en Haute Montagne (775667371), Société d'Assainissement et de Gestion des Eaux du Bassin d'Arcachon (789945403), Société Auxiliaire de Batiment et de travaux Public (596620237), SADE Compagnie Générale des Exploitations du Nord de la France (414837336), SADE Compagnie Générale des Exploitations du Sud Est de la France (414837591), SADE Compagnie Générale des Exploitations du Sud Ouest de la France (414837229), SADE Compagnie Générale des Exploitations de Normandie (414837633), SADE Compagnie Générale des Exploitations de l'Est de la France (414837393), SADE Compagnie Générale des Exploitations du Languedoc Roussillon (414837807), Société Avignonaise des Eaux (334860822), Société des Eaux et de l'Assainissement de l'Oise (526820055), Société des Eaux et de l'Agglomération Troyenne (344213632), Société des Eaux de Cambrai (685620460), Société des Eaux de Douai (045550571), Société des Eaux de Melun (785751058), Société des Eaux de Picardie (552046971), Société des Eaux de Saint-Omer (575780499), Société Française de Distribution d'Eau (542054945), Société d'Environnement du Bassin de Lacq (495219123), Société des Eaux de Trouville Deauville et Normandie (475750741), Société d'Entreprise et de Gestion (692013188), Société Maconnaise d'Assainissement de Distribution d'Eau (685750071), Société Mosellane des Eaux (788182790), Société Régionale de Distribution d'Eau (305720377), Société Technique d'Exploitation et de Comptage (309124311), Société Varoise d'Aménagement et de Gestion (722850286), Société OTV Exploitation (414985028), Cergy Assainissement (352292866), Société Dauphinoise d'Assainissement (337492110), OTV Exploitations Rouennaises (505081190), Veolia Eau-Exploitation le Havre (502944010), CYO (504838384), Société des Eaux Industrielles de Port Jérôme (480544253), RUAS Michel SA (730201183), Epuration Pompage Urbain et Rural (350904710), Société Equalia Services (509625778), Société des Eaux de Toulon (509107744), Veolia Eau d'Ile de France (524334943), Royan Eau et Environnement (521630731), Société Eau du Grand Lyon (799365887), Société des Eaux du Boulonnais (794351346), Société VALYO (524313145), Société Assainissement Presqu'ile de Guérande (808778223), Flaine Energie (808569974), Société d'Exploitation d'Eau du Bassin d'Arcachon Sud (817489370), Société d'Assainissement du Boulonnais (817506504), Société des Eaux du Grand Arras (812050755), Société Seine Ouest Assainissement (817465842), Société d'Exploitation des Eaux Véolia Vendée (817493158), Société d'Exploitation Agen Garonne (808578207), RUNEO (817502453), Société d'Exploitation des Eaux de Seine Eure Normandie (817486103), Société Grand Prado 360 D (519024723), Société Maconnaise des Eaux (817486152), Creusot Monceau (817486186), Société des Eaux de la Possession (838386332), Société des Eaux de la Ville de Millau (817486228), Société des Eaux Potables du Granvillais et l'Avanchin (834284986)",Ile-de-France,Seine-Saint-Denis
"1001 Vies Habitat",572015451,2018,62/100,"Unité Economique et Sociale (UES)","1001 Vies Habitat","GIE 1001 Vies Habitat (492644323), Logis Familial (969802321), Logis Familial Varois (619500796), Logis Méditerrannée (314046004), Sollar (057501702)",Ile-de-France,Hauts-de-Seine
"ARCADE NETTOYAGE",572002186,2018,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Lyreco France",571722669,2018,72/100,Entreprise,"","",Hauts-de-France,Nord
KSBSAS,569801897,2018,79/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"SCHAEFFLER FRANCE",568504161,2018,76/100,Entreprise,"","","Grand Est",Bas-Rhin
"Compagnie des Transports Strasbourgeois",568500680,2018,79/100,Entreprise,"","","Grand Est",Bas-Rhin
"LACOSTE OPERATIONS",562880468,2018,81/100,Entreprise,"","",Ile-de-France,Paris
SINIAT,562620773,2018,89/100,"Unité Economique et Sociale (UES)",SINIAT,"EBPI (535050686)","Provence-Alpes-Côte d'Azur",Vaucluse
RAZEL-BEC,562136036,2018,76/100,Entreprise,"","",Ile-de-France,Essonne
"ACOME SCOP",562123513,2018,78/100,Entreprise,"","",Ile-de-France,Paris
"GEMALTO SA",562113530,2018,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
