destinataire;projet;horodatage;date_debut;date_fin;nb_lignes
DGT;DTS;2026-08-17T08:07:22;2026-01-01;2026-12-31;200
SIREN;Effectif_RCD;Effectif_H_rem_annuelle_globale;Effectif_F_rem_annuelle_globale;Effectif_H_taux_horaire_global;Effectif_F_taux_horaire_global;Effectif_H_rem_annuelle_variable;Effectif_F_rem_annuelle_variable;Rem_globale_annuelle_moyenne_ecart;Rem_globale_annuelle_moyenne_F;Rem_globale_annuelle_moyenne_H;Taux_horaire_global_moyen_ecart;Taux_horaire_global_moyen_F;Taux_horaire_global_moyen_H;Rem_variable_annuelle_moyenne_ecart;Rem_variable_annuelle_moyenne_F;Rem_variable_annuelle_moyenne_H;Taux_horaire_variable_moyen_ecart;Taux_horaire_variable_moyen_F;Taux_horaire_variable_moyen_H;Rem_globale_annuelle_mediane_ecart;Rem_globale_annuelle_mediane_F;Rem_globale_annuelle_mediane_H;Taux_horaire_global_median_ecart;Taux_globale_annuelle_mediane_F;Taux_globale_annuelle_mediane_H;Rem_variable_annuelle_mediane_ecart;Rem_variable_annuelle_mediane_F;Rem_variable_annuelle_mediane_H;Taux_horaire_variable_median_ecart;Taux_horaire_variable_median_F ;Taux_horaire_variable_median_H;Proportion_variable_F;Proportion_variable_H;Seuil_Q1_Rem_globale;Seuil_Q2_Rem_globale;Seuil_Q3_Rem_globale;Quartile1_Rem_globale_annuelle_nb_F;Quartile2_Rem_globale_annuelle_nb_F;Quartile3_Rem_globale_annuelle_nb_F;Quartile4_Rem_globale_annuelle_nb_F;Quartile1_Rem_globale_annuelle_nb_H;Quartile2_Rem_globale_annuelle_nb_H;Quartile3_Rem_globale_annuelle_nb_H;Quartile4_Rem_globale_annuelle_nb_H;Quartile1_Rem_globale_annuelle_proportion_F;Quartile2_Rem_globale_annuelle_proportion_F;Quartile3_Rem_globale_annuelle_proportion_F;Quartile4_Rem_globale_annuelle_proportion_F;Quartile1_Rem_globale_annuelle_proportion_H;Quartile2_Rem_globale_annuelle_proportion_H;Quartile3_Rem_globale_annuelle_proportion_H;Quartile4_Rem_globale_annuelle_proportion_H;Seuil_Q1_Taux_horaire_global;Seuil_Q2_Taux_horaire_global;Seuil_Q3_Taux_horaire_global;Quartile1_Taux_horaire_global_nb_F;Quartile2_Taux_horaire_global_nb_F;Quartile3_Taux_horaire_global_nb_F;Quartile4_Taux_horaire_global_nb_F;Quartile1_Taux_horaire_global_nb_H;Quartile2_Taux_horaire_global_nb_H;Quartile3_Taux_horaire_global_nb_H;Quartile4_Taux_horaire_global_nb_H;Quartile1_Taux_horaire_global_proportion_F;Quartile2_Taux_horaire_global_proportion_F;Quartile3_Taux_horaire_global_proportion_F;Quartile4_Taux_horaire_global_proportion_F;Quartile1_Taux_horaire_global_proportion_H;Quartile2_Taux_horaire_global_proportion_H;Quartile3_Taux_horaire_global_proportion_H;Quartile4_Taux_horaire_global_proportion_H;indice;indice_nature_exo;indice_unite;indice_ratio_suspensions;indice_ratio_arrets;indice_arrets_0;indice_quotite250;indice_quotite0;indice_rem_extremes;indice_taux_extremes
348762006;70,00;37;33;34;33;18;17;-0,0096;34487,69;34159,99;-0,0400;19,23;18,49;0,0295;560,69;577,72;0,0000;0,31;0,31;-0,0282;33295,49;32381,62;-0,0594;18,56;17,52;0,1350;531,47;614,45;0,0909;0,30;0,33;0,5152;0,4865;22279,15;25627,07;36638,47;9;8;8;8;8;10;9;10;0,5294;0,4444;0,4706;0,4444;0,4706;0,5556;0,5294;0,5556;12,23;14,07;20,12;9;8;8;8;8;8;9;9;0,5294;0,5000;0,4706;0,4706;0,4706;0,5000;0,5294;0,5294;0,9875;0,1058;0,1415;0,1526;0,1239;0,0242;0,2023;0,0317;0,9301;0,0415
848861175;70,00;55;15;51;13;19;4;0,0482;28990,73;30458,50;0,0084;16,61;16,75;0,0772;349,17;378,39;0,0476;0,20;0,21;0,0483;27838,25;29252,32;0,0087;15,95;16,09;0,2420;301,08;397,21;0,2273;0,17;0,22;0,2667;0,3455;15623,78;26810,46;32061,77;5;5;2;3;12;13;16;14;0,2941;0,2778;0,1111;0,1765;0,7059;0,7222;0,8889;0,8235;8,66;14,87;17,78;4;4;2;3;11;12;15;13;0,2667;0,2500;0,1176;0,1875;0,7333;0,7500;0,8824;0,8125;0,7208;0,2886;0,0049;0,2125;0,0007;0,0346;0,0550;0,0738;0,6895;0,0466
499870715;70,00;37;33;34;30;19;14;-0,0242;42901,60;41889,66;-0,0453;24,24;23,19;-0,0068;324,98;322,80;0,0000;0,18;0,18;-0,0062;43554,20;43284,83;-0,0267;24,61;23,97;-0,1143;357,45;320,79;-0,1111;0,20;0,18;0,4242;0,5135;21014,02;36950,84;38222,12;9;8;8;8;8;9;10;10;0,5294;0,4706;0,4444;0,4444;0,4706;0,5294;0,5556;0,5556;11,75;20,65;21,36;8;8;7;7;8;8;9;9;0,5000;0,5000;0,4375;0,4375;0,5000;0,5000;0,5625;0,5625;0,9799;0,4836;0,2435;0,2872;0,1623;0,0080;0,0268;0,1986;0,0330;0,0246
488421116;70,00;47;23;45;23;9;4;0,0224;35340,80;36150,25;0,0035;19,81;19,88;0,0819;492,30;536,24;0,0345;0,28;0,29;0,0080;32798,48;33063,92;-0,0116;18,39;18,18;0,1833;453,81;555,68;0,1935;0,25;0,31;0,1739;0,1915;20781,14;29899,34;39580,61;6;7;6;4;11;11;12;13;0,3529;0,3889;0,3333;0,2353;0,6471;0,6111;0,6667;0,7647;11,50;16,55;21,91;6;7;6;4;11;10;11;13;0,3529;0,4118;0,3529;0,2353;0,6471;0,5882;0,6471;0,7647;0,9407;0,2335;0,1144;0,2526;0,1262;0,0158;0,1394;0,1059;0,9461;0,0086
521791343;70,00;34;36;31;35;20;20;-0,0086;33480,04;33193,06;-0,0702;19,21;17,95;-0,0096;521,87;516,89;-0,0714;0,30;0,28;-0,0003;34441,12;34430,32;-0,0612;19,76;18,62;-0,0157;532,32;524,11;-0,1071;0,31;0,28;0,5556;0,5882;20780,44;29183,87;34995,92;9;8;8;11;9;9;9;7;0,5000;0,4706;0,4706;0,6111;0,5000;0,5294;0,5294;0,3889;11,59;16,28;19,52;9;8;8;10;8;8;8;7;0,5294;0,5000;0,5000;0,5882;0,4706;0,5000;0,5000;0,4118;0,8651;0,3170;0,0005;0,1217;0,1652;0,0173;0,0595;0,1485;0,6200;0,0025
503813677;70,00;51;19;48;17;13;4;0,0149;34552,97;35075,49;-0,0042;19,19;19,11;0,0618;343,43;366,05;0,0500;0,19;0,20;0,0313;33347,41;34424,89;0,0128;18,52;18,76;-0,0855;389,11;358,47;-0,1000;0,22;0,20;0,2105;0,2549;21721,10;26925,53;36241,27;6;5;4;4;11;12;14;14;0,3529;0,2941;0,2222;0,2222;0,6471;0,7059;0,7778;0,7778;11,89;14,74;19,84;6;4;4;3;10;12;12;14;0,3750;0,2500;0,2500;0,1765;0,6250;0,7500;0,7500;0,8235;0,5739;0,1599;0,2948;0,1517;0,1952;0,0011;0,1955;0,1207;0,9393;0,0125
400063814;70,00;32;38;29;34;14;16;-0,0267;36533,70;35582,12;-0,0628;20,83;19,60;0,0110;550,11;556,24;0,0000;0,31;0,31;-0,0290;35741,80;34735,59;-0,0653;20,38;19,13;0,1255;496,68;567,97;0,0968;0,28;0,31;0,4211;0,4375;24194,51;29598,04;35870,57;11;9;9;9;6;9;8;9;0,6471;0,5000;0,5294;0,5000;0,3529;0,5000;0,4706;0,5000;13,58;16,61;20,13;10;8;8;8;6;8;7;8;0,6250;0,5000;0,5333;0,5000;0,3750;0,5000;0,4667;0,5000;0,8066;0,2044;0,0519;0,0016;0,1420;0,0191;0,0980;0,0038;0,1189;0,0325
815376801;70,00;56;14;50;12;17;4;0,0540;26974,74;28516,01;0,0280;15,25;15,69;0,0437;243,50;254,64;0,0000;0,14;0,14;0,0659;26835,81;28727,64;0,0405;15,17;15,81;0,0800;213,13;231,67;0,0769;0,12;0,13;0,2857;0,3036;16229,83;25006,74;30560,58;6;3;2;3;12;14;16;14;0,3333;0,1765;0,1111;0,1765;0,6667;0,8235;0,8889;0,8235;8,98;13,83;16,90;5;3;2;2;10;13;14;13;0,3333;0,1875;0,1250;0,1333;0,6667;0,8125;0,8750;0,8667;0,6843;0,0812;0,2705;0,1720;0,0348;0,0017;0,2572;0,0190;0,5078;0,0261
411858046;70,00;34;36;29;35;21;17;-0,0016;47691,86;47617,96;-0,0229;26,77;26,17;-0,0401;584,72;562,19;-0,0645;0,33;0,31;-0,0039;47968,01;47779,98;-0,0251;26,92;26,26;-0,0247;553,94;540,58;-0,0333;0,31;0,30;0,4722;0,6176;27009,26;39474,63;51156,77;11;8;9;8;7;9;9;9;0,6111;0,4706;0,5000;0,4706;0,3889;0,5294;0,5000;0,5294;15,02;21,95;28,44;11;8;8;8;5;8;8;8;0,6875;0,5000;0,5000;0,5000;0,3125;0,5000;0,5000;0,5000;0,9886;0,1108;0,1287;0,0127;0,0309;0,0024;0,0364;0,0678;0,7274;0,0263
520566860;70,00;53;17;47;16;16;5;0,0003;32539,24;32548,87;-0,0105;18,22;18,03;0,0977;338,75;375,44;0,0952;0,19;0,21;-0,0152;31903,30;31425,06;-0,0264;17,86;17,40;-0,1860;384,31;324,05;-0,2222;0,22;0,18;0,2941;0,3019;21171,93;26528,01;29720,01;5;5;3;4;12;13;15;13;0,2941;0,2778;0,1667;0,2353;0,7059;0,7222;0,8333;0,7647;11,76;14,73;16,51;5;5;2;4;11;11;13;12;0,3125;0,3125;0,1333;0,2500;0,6875;0,6875;0,8667;0,7500;0,5103;0,1974;0,0157;0,1148;0,0964;0,0200;0,0049;0,1925;0,7274;0,0115
809703598;70,00;38;32;34;31;23;19;-0,0113;35437,68;35040,00;-0,0704;20,37;19,03;-0,0352;815,67;787,93;-0,0930;0,47;0,43;0,0023;32612,02;32686,56;-0,0563;18,75;17,75;-0,0287;915,53;890,03;-0,1042;0,53;0,48;0,5938;0,6053;19107,47;25477,22;31611,38;10;8;8;6;7;9;10;12;0,5882;0,4706;0,4444;0,3333;0,4118;0,5294;0,5556;0,6667;10,66;14,21;17,63;10;8;7;6;6;8;9;11;0,6250;0,5000;0,4375;0,3529;0,3750;0,5000;0,5625;0,6471;0,9152;0,1132;0,1577;0,1108;0,0156;0,0137;0,2701;0,1984;0,5289;0,0103
853995629;70,00;59;11;57;11;22;3;0,0960;34102,32;37725,55;0,0332;20,11;20,80;0,0071;332,45;334,84;-0,1111;0,20;0,18;0,0976;34854,92;38625,74;0,0348;20,55;21,29;0,0236;342,45;350,71;-0,0526;0,20;0,19;0,2727;0,3729;23319,07;26890,49;40611,64;4;3;1;3;13;15;16;15;0,2353;0,1667;0,0588;0,1667;0,7647;0,8333;0,9412;0,8333;12,99;14,98;22,62;4;3;1;3;13;14;16;14;0,2353;0,1765;0,0588;0,1765;0,7647;0,8235;0,9412;0,8235;0,5976;0,1155;0,1820;0,1827;0,1117;0,0213;0,1216;0,0704;0,4076;0,0362
508436110;70,00;38;32;37;30;21;15;-0,0090;42335,90;41959,33;-0,0528;24,11;22,90;-0,0355;765,23;739,02;-0,1000;0,44;0,40;0,0100;40267,66;40673,99;-0,0338;22,94;22,19;-0,1907;862,12;724,06;-0,2250;0,49;0,40;0,4688;0,5526;28733,30;36972,34;38575,92;9;9;7;7;9;8;11;10;0,5000;0,5294;0,3889;0,4118;0,5000;0,4706;0,6111;0,5882;15,98;20,56;21,45;9;8;6;7;8;9;10;10;0,5294;0,4706;0,3750;0,4118;0,4706;0,5294;0,6250;0,5882;0,9691;0,0309;0,2846;0,2222;0,0920;0,0148;0,0803;0,0736;0,2563;0,0104
384030961;70,00;59;11;57;9;10;2;0,0845;33426,66;36510,21;0,0612;18,87;20,10;0,0304;208,77;215,31;0,0000;0,12;0,12;0,0771;33914,70;36748,08;0,0534;19,15;20,23;0,0541;226,42;239,38;0,0000;0,13;0,13;0,1818;0,1695;23656,49;30420,76;36374,82;3;3;3;2;14;15;14;16;0,1765;0,1667;0,1765;0,1111;0,8235;0,8333;0,8235;0,8889;13,07;16,80;20,09;2;2;3;2;14;14;14;15;0,1250;0,1250;0,1765;0,1176;0,8750;0,8750;0,8235;0,8824;0,6736;0,0948;0,1934;0,2372;0,1121;0,0494;0,2611;0,1812;0,5651;0,0254
852579994;70,00;36;34;35;30;11;9;0,0149;45001,47;45681,12;-0,0293;26,00;25,26;0,0481;573,99;603,01;0,0000;0,33;0,33;0,0141;48378,19;49072,23;-0,0306;27,96;27,13;0,0846;611,32;667,80;0,0541;0,35;0,37;0,2647;0,3056;30246,36;34406,41;48647,09;10;8;7;9;8;9;10;9;0,5556;0,4706;0,4118;0,5000;0,4444;0,5294;0,5882;0,5000;17,06;19,41;27,44;8;8;6;8;8;9;10;8;0,5000;0,4706;0,3750;0,5000;0,5000;0,5294;0,6250;0,5000;0,8020;0,3178;0,0825;0,2678;0,1593;0,0314;0,1878;0,1025;0,8672;0,0204
377745666;70,00;46;24;40;21;16;8;0,0914;34372,39;37829,67;0,0826;18,98;20,69;0,0247;475,40;487,45;0,0370;0,26;0,27;0,0865;33875,08;37083,73;0,0779;18,70;20,28;-0,1414;480,35;420,83;-0,1739;0,27;0,23;0,3333;0,3478;21092,25;33792,54;41313,90;8;6;5;5;10;11;12;13;0,4444;0,3529;0,2941;0,2778;0,5556;0,6471;0,7059;0,7222;11,57;18,54;22,67;7;5;4;5;8;10;11;11;0,4667;0,3333;0,2667;0,3125;0,5333;0,6667;0,7333;0,6875;0,8241;0,1235;0,0914;0,0622;0,0451;0,0448;0,2965;0,1285;0,3672;0,0377
800661225;70,00;37;33;34;30;19;17;0,0024;41134,36;41231,29;-0,0111;22,73;22,48;0,0011;476,27;476,79;0,0000;0,26;0,26;-0,0124;41911,33;41399,26;-0,0261;23,16;22,57;-0,0508;452,06;430,19;-0,0870;0,25;0,23;0,5152;0,5135;27819,46;29684,10;41487,77;10;8;7;8;7;10;11;9;0,5882;0,4444;0,3889;0,4706;0,4118;0,5556;0,6111;0,5294;15,26;16,29;22,76;9;8;6;7;7;8;10;9;0,5625;0,5000;0,3750;0,4375;0,4375;0,5000;0,6250;0,5625;0,8037;0,2801;0,1578;0,2518;0,1958;0,0085;0,0007;0,1652;0,7487;0,0262
424653566;70,00;58;12;55;11;21;4;0,0763;28881,42;31265,95;0,0426;16,20;16,92;0,1303;334,88;385,06;0,0952;0,19;0,21;0,0912;30537,16;33603,04;0,0578;17,13;18,18;0,1659;355,33;426,01;0,1304;0,20;0,23;0,3333;0,3621;17903,14;23106,78;28512,56;4;3;1;4;14;14;16;14;0,2222;0,1765;0,0588;0,2222;0,7778;0,8235;0,9412;0,7778;9,74;12,58;15,52;3;3;2;3;13;13;15;14;0,1875;0,1875;0,1176;0,1765;0,8125;0,8125;0,8824;0,8235;0,8898;0,0350;0,0900;0,1548;0,1270;0,0500;0,2282;0,1497;0,7714;0,0497
530018639;70,00;33;37;30;32;23;21;-0,0061;46023,13;45746,30;-0,0293;26,01;25,27;-0,0057;490,09;487,32;-0,0370;0,28;0,27;0,0051;43970,69;44193,96;-0,0180;24,85;24,41;-0,1032;460,32;417,26;-0,1304;0,26;0,23;0,5676;0,6970;24212,36;33757,84;49802,60;11;8;8;10;6;9;10;8;0,6471;0,4706;0,4444;0,5556;0,3529;0,5294;0,5556;0,4444;13,53;18,87;27,83;10;7;7;8;5;8;9;8;0,6667;0,4667;0,4375;0,5000;0,3333;0,5333;0,5625;0,5000;0,7846;0,4492;0,2106;0,2407;0,1675;0,0348;0,2157;0,0490;0,2468;0,0206
510929201;70,00;56;14;56;14;14;4;0,0842;36188,52;39517,08;0,0513;20,71;21,83;0,0994;476,24;528,83;0,0690;0,27;0,29;0,0806;38430,40;41797,70;0,0476;21,99;23,09;-0,1392;523,57;459,61;-0,2000;0,30;0,25;0,2857;0,2500;20075,26;32531,59;38618,53;3;4;4;3;14;14;13;15;0,1765;0,2222;0,2353;0,1667;0,8235;0,7778;0,7647;0,8333;11,17;18,10;21,49;3;4;5;2;14;14;13;15;0,1765;0,2222;0,2778;0,1176;0,8235;0,7778;0,7222;0,8824;0,9599;0,4498;0,1189;0,1492;0,0666;0,0253;0,0686;0,0525;0,6539;0,0236
834780892;70,00;35;35;30;33;11;9;-0,0021;47686,93;47586,08;-0,0517;27,07;25,74;-0,0011;748,22;747,42;-0,0500;0,42;0,40;-0,0135;45649,25;45040,98;-0,0636;25,91;24,36;-0,0250;743,93;725,78;-0,0769;0,42;0,39;0,2571;0,3143;27026,73;38289,27;47089,38;9;9;9;8;9;8;8;10;0,5000;0,5294;0,5294;0,4444;0,5000;0,4706;0,4706;0,5556;14,99;21,23;26,12;8;9;9;7;8;7;7;8;0,5000;0,5625;0,5625;0,4667;0,5000;0,4375;0,4375;0,5333;0,9510;0,4389;0,1890;0,1250;0,1268;0,0110;0,2751;0,0397;0,6621;0,0412
699804266;70,00;52;18;46;17;15;5;0,0657;33031,19;35355,25;0,0317;18,95;19,57;0,1120;380,41;428,37;0,0833;0,22;0,24;0,0559;32171,03;34075,01;0,0212;18,46;18,86;0,0993;364,99;405,23;0,0455;0,21;0,22;0,2778;0,2885;19394,92;30272,26;32125,67;5;5;4;4;13;12;13;14;0,2778;0,2941;0,2353;0,2222;0,7222;0,7059;0,7647;0,7778;10,84;16,92;17,95;5;5;4;3;11;11;12;12;0,3125;0,3125;0,2500;0,2000;0,6875;0,6875;0,7500;0,8000;0,9050;0,1117;0,1683;0,1220;0,1538;0,0286;0,1483;0,1649;0,5908;0,0195
